apices,coty,In,hypo
Solmam1_01g000750,7.04696902051462,3.39042689078293,10.4075892463203,11.874512604895
Solmam1_01g000760,8.0818612509131,1.15139173247286,7.83628079048862,8.10629121175916
Solmam1_01g000790,0,0,0.0183358994535562,0.572444352697855
Solmam1_01g000800,0.0253789475738905,0.026318087439836,0,0.093693761359694
Solmam1_01g000820,1.11637645951752,0.483320224457382,3.02292880012708,6.02306438553594
Solmam1_01g000830,0.053991929503849,0,0.172973900447613,0.0995113549410503
Solmam1_01g000840,0.475337500287212,0.247794917693095,0.623964308943585,2.909407156942
Solmam1_01g000850,0.0724587343776295,0,0,0.490095857535363
Solmam1_01g000860,0.36411279121264,0,0.072629797529126,0.356510793969518
Solmam1_01g000870,12.6906538502163,0.427433521985869,3.61099152822034,1.01033210465287
Solmam1_01g000880,7.73720366599621,0.060238678338578,2.45791157273648,0.824497779112927
Solmam1_01g000900,0.421907743625929,0,0.404917963952518,0
Solmam1_01g000910,0.235832673210209,1.25293838493302,0,0
Solmam1_01g000920,0.242704267841535,0.0924646527644655,0.256261874763792,0.545761089962361
Solmam1_01g000930,2.21738005592022,0.24568918374144,5.91239809586833,4.04739977688884
Solmam1_01g000940,0.511760428775148,0.0463516787155211,0.286077935972481,10.9881604079433
Solmam1_01g001000,0,0,0,0.0611303473862741
Solmam1_01g001030,0.15420450325054,0.05330359724792,0,3.55184281121155
Solmam1_01g001040,0,0,0.138762052446166,0
Solmam1_01g001080,0,0,0.206520130687423,0
Solmam1_01g001090,0.129524680623224,0.0557791894920643,0.414736929310852,0
Solmam1_01g001100,2.39499296134563,1.81607398819955,3.36699186299751,5.89469239944616
Solmam1_01g001110,22.2526342687536,16.1103779745409,16.0241975446779,19.0293384008465
Solmam1_01g001120,0,0,1.31643082570033,0
Solmam1_01g001130,0.408134912004606,0,0.904013583271677,0
Solmam1_01g001160,0,0,0.074837862353897,0.0440005820979538
Solmam1_01g001170,12.2402963085921,0.469966250016769,5.76961440928729,2.25081345594206
Solmam1_01g001180,0.326978501310095,0.574873753467602,2.86575798772788,0.484562350649812
Solmam1_01g001190,29.3461295235128,56.1027484417718,27.3248015806401,40.3335220698911
Solmam1_01g001200,38.9136899723861,22.4617234204704,45.2278962550054,30.1602353073053
Solmam1_01g001210,1.10406284880681,0.0167707381379036,6.19366896637749,0
Solmam1_01g001230,2.97718616355929,0,0.285227131678516,0.785347174993962
Solmam1_01g001240,14.1836496213938,4.71507178076232,11.7485754004487,15.0118650485181
Solmam1_01g001280,1.03349630782902,0.59274895457177,0.851170268021955,0
Solmam1_01g001380,0.0302276461430255,0.0313462105540972,0.107091843644282,0.0597732383554938
Solmam1_01g001390,15.848911711909,0.101464238172719,0.178916281019095,0
Solmam1_01g001420,8.64154325191396,4.56440033294794,7.73209299774591,10.9734639712238
