apices,coty,In,leaves
Solcle2_01g000380,16.6628912603341,7.1647459465875,19.8972797192589,5.93378106629777
Solcle2_01g000400,0.439438391887007,0.0374378783969445,0.100341058865681,0
Solcle2_01g000410,0.48174316409727,0.0554182352509862,0.389976187628436,0
Solcle2_01g000420,0,0,0,0.098126270757718
Solcle2_01g000430,1.74998735149111,0.45578693547961,1.4819559646483,0.467997848546685
Solcle2_01g000440,39.0173461966613,19.4405596300112,26.2988330204674,27.5937426250273
Solcle2_01g000450,49.3136797576936,10.6615728236275,28.1048183406528,15.7433326620022
Solcle2_01g000460,17.5554100012003,10.7109802317064,19.0987150527624,8.41153604368496
Solcle2_01g000470,0.0602801040819027,0.0619154250626427,0.593188502852457,0
Solcle2_01g000480,0.564574633352455,0.410297301155924,2.59823709331213,0.777614745228449
Solcle2_01g000490,0.44205409660062,0.788586575222942,2.19300233110895,2.03064324518101
Solcle2_01g000500,65.2173316543252,6.73226956200014,32.5291314260626,8.4824310726256
Solcle2_01g000510,36.7659379679013,0.410212574742049,15.1697447759404,1.5347736041788
Solcle2_01g000520,70.5568275655287,33.6508209024998,67.1995377629035,21.3063249431718
Solcle2_01g000530,17.9137532668457,116.136512311137,37.921498680713,135.03536528562
Solcle2_01g000540,20.9048081093091,2.29737303457106,10.7842089845207,1.38120829949168
Solcle2_01g000550,0.0885953930556566,0,0.0508222401321322,0
Solcle2_01g000560,49.6766380841883,100.976218877488,69.6481246152235,49.5301320936113
Solcle2_01g000570,594.120705831233,141.457951190629,317.989048963876,357.796032444658
Solcle2_01g000580,16.8642134267774,3.29906612086172,8.98855695310744,2.03321160026255
Solcle2_01g000590,26.0897919736895,12.0001364366299,16.3865214979105,7.09063730636308
Solcle2_01g000600,33.2878901366779,24.1415999987415,32.160005386559,16.5085518006301
Solcle2_01g000610,33.53370370448,4.15818242153554,15.6921165344882,2.4105503395888
Solcle2_01g000620,50.0086681397171,8.91094992097733,32.1290640431132,10.8070701626726
Solcle2_01g000630,28.655756435771,16.4684274988534,30.1028995927101,13.602595350545
Solcle2_01g000640,0.300617661914943,2.12629539880613,4.08855965161925,7.26052802332777
Solcle2_01g000650,36.4994789884561,16.6347548484234,27.6966409086721,13.1441568885385
Solcle2_01g000660,35.1361707749654,7.84140556438631,14.5710746267806,5.59492810526277
Solcle2_01g000670,68.3173204979132,65.1608812215751,78.1368132444776,45.4810617749073
Solcle2_01g000680,0,0.0665698333693935,0.193779489419451,0.541922255414805
Solcle2_01g000690,21.9883564517305,27.765493801993,260.002051315697,101.380623611512
Solcle2_01g000700,0,144.187052207914,2.72995983169548,1.79887645705036
Solcle2_01g000710,0,0,0.0188495325817114,0
Solcle2_01g000720,97.8116883493392,6.27087247807838,34.3962397446019,8.1078166590392
Solcle2_01g000730,0,0.136867496137049,0,0
Solcle2_01g000740,4.10312281144916,70.7878707781084,10.5258083281567,106.695221641515
Solcle2_01g000750,6.57652410381273,2.77034379889223,6.0968636709283,3.5814106967435
Solcle2_01g000760,34.0768865557943,20.7889055155094,32.7028238989674,15.0686110218694
