coty,In,hypo,leaves
Solang8_01g000720,0.857377620296801,21.0169965918241,265.195755137018,89.0726399985644
Solang8_01g000730,18.2314895139794,5.12068710563676,983.572864980572,7.70295402058201
Solang8_01g000740,5.64512884043724,91.1322536098612,40.0308329141444,19.2415509614132
Solang8_01g000750,0,3.26418665783856,0,0
Solang8_01g000760,270.382544203466,63.2318499068072,47.1893927190354,303.848757511541
Solang8_01g000770,1.63226304528475,2.89564631716587,4.28156204527594,1.83519131448175
Solang8_01g000780,12.4535528844708,15.6692950229201,44.3616501914952,8.02076120880719
Solang8_01g000790,12.5065341435343,43.6358883322461,88.3162269069443,13.475815907454
Solang8_01g000800,0.635905487580996,1.69162571489842,3.74645594448968,1.2227321624307
Solang8_01g000810,4.20654126043716,559.224164995388,271.164221521896,2.56404228044172
Solang8_01g000820,0.456574949384576,402.376012961405,4.15127446080309,18.6984491573665
Solang8_01g000840,355.204032906329,281.333075321434,317.1316363208,246.059750934445
Solang8_01g000850,0.0118366496716269,0.174997474080584,0.373046218761108,0.0194884106139443
Solang8_01g000860,83.0136516428928,45.9436466762346,38.8660084078511,52.7943604067831
Solang8_01g000870,0,0.0785618584505312,0,0
Solang8_01g000880,11.822295751877,20.7361122628813,27.5812751498378,14.1246321316179
Solang8_01g000890,8.63075959253598,7.60131847476346,20.3953164048169,5.28010199736368
Solang8_01g000910,5.07115367087914,3.94761331008638,4.33066034643677,4.05683816602145
Solang8_01g000920,29.6149089752882,25.0618103268853,22.8258813933733,31.4506456330901
Solang8_01g000930,0.0487621584017595,0.404706386061023,0.365068218204135,0
Solang8_01g000950,0.0240226789320818,0.031793920029346,0,0
Solang8_01g000960,392.691498892992,821.862951084346,659.955401804581,789.753968525702
Solang8_01g000970,3.95469645809992,12.372845563228,12.9882955279727,8.42348687842609
Solang8_01g000980,20.0054990715235,75.1651653718876,26.9460611504366,67.9552602091009
Solang8_01g000990,0.818173173101032,1.44995719753387,22.2701132483033,0.512354840074167
Solang8_01g001000,8.0312525040909,47.1889571601029,13.9519075847968,120.904277775642
Solang8_01g001010,1.13964513805898,53.8710106645461,24.69419273234,5.46552602300914
Solang8_01g001030,0.759688420836157,89.0905203560448,9.91160575901838,2.63235654325193
Solang8_01g001040,0.412352474125365,1.70337551028851,2.72650400735508,1.4765948159186
