apices,coty,In,hypo,leaves
Solaet3_01g000300,12.705258968759,2.07870594834232,9.09618298001059,7.79354254233484,3.53553310238611
Solaet3_01g000310,51.1235573680593,19.1894106203674,36.5903855413036,34.4039445607326,17.2094484444671
Solaet3_01g000320,92.7882716747477,57.6452350280747,106.858849907304,79.3356172175371,77.7866487228333
Solaet3_01g000330,0.00783951127527997,0.0237161888677039,0.0922340330473274,0,0.0289371685338862
Solaet3_01g000340,0.215536844611928,0.250907094086243,0.289538591852937,0.0792209307676275,0.298260440955241
Solaet3_01g000350,9.79669735205314,0.573083350966465,4.33495263233058,11.0851969962278,0.931276625527667
Solaet3_01g000370,72.2189127495722,18.7436036329655,58.1290714210011,32.5170193626818,25.6236291004933
Solaet3_01g000380,0.312490269987654,0.165710243624122,0.486681329741672,0,0.0896559269532813
Solaet3_01g000390,0.214260390624693,0.144562946567459,0.502977080950568,0.272388960681064,0.3196072871035
Solaet3_01g000400,19.183033655609,5.35693615642632,22.8777022128831,17.2267860174092,8.61535462117567
Solaet3_01g000410,0,0,0,0.0915539882955148,0
Solaet3_01g000420,0.0649518599915761,0.00707559986974348,0.0121600579285381,0.672393217780401,0
Solaet3_01g000430,12.4447603074273,2.39491728505057,6.13201398941841,4.75835336403576,2.54103022101588
Solaet3_01g000440,0.027485749930609,0,0.28367594122716,0,0
Solaet3_01g000450,1.42575110845086,0.273966377265591,1.43636856288885,1.04124270675276,0.232942584295639
Solaet3_01g000460,1.38203087385367,0.295627532379197,1.70047234107961,2.14568696535501,1.13958089863212
Solaet3_01g000470,39.9348253517504,21.4615946983191,40.8680816531728,30.5475710711847,30.0013705888003
Solaet3_01g000480,51.050735997421,10.8963832336832,29.0467428399658,45.7518206933414,14.84716699722
Solaet3_01g000490,22.4376760096566,7.1566220978293,19.3451524536104,15.8630448543521,8.89138059353522
Solaet3_01g000500,0.0517409265220858,0.0387080291878805,0.307898537268157,0.533134131202587,0.0236146872179282
