apices,In
Soletu1_01g000950,0.228496395516966,0.0717971207663013
Soletu1_01g000960,0.293813448230957,0.219813225241107
Soletu1_01g000970,0.0602019554375257,0.189753297003007
Soletu1_01g000980,61.2468531441247,65.0646284539813
Soletu1_01g000990,0.124275650483581,0.114564861658692
Soletu1_01g001000,0.242554447678657,0.0180728552703469
Soletu1_01g001010,8.94004518126736,3.83330136733076
Soletu1_01g001020,41.5558941492824,26.6092556397386
Soletu1_01g001030,11.0032634261008,6.58310183402836
Soletu1_01g001040,12.4939597239156,8.23615899232821
Soletu1_01g001050,15.2837996085361,13.2616652649257
Soletu1_01g001070,108.764310904423,113.696552586234
Soletu1_01g001080,0.0383796093012367,0.0823522008839684
Soletu1_01g001090,725.239369884941,370.709034782771
Soletu1_01g001100,23.7339152422268,17.0375065105394
Soletu1_01g001110,0.281380590153842,0.0931226102526617
Soletu1_01g001120,4424.65736837071,4365.46870137623
Soletu1_01g001130,9.15325548856992,5.89004859909205
Soletu1_01g001140,132.404324855392,72.3445283078309
Soletu1_01g001150,7.01157460876492,11.7501061206969
Soletu1_01g001160,0.186300768118041,0
Soletu1_01g001170,62.0743277013441,44.2382241385415
Soletu1_01g001180,9.79338415567152,7.18966827030745
Soletu1_01g001190,27.7971574464828,18.1723963715807
Soletu1_01g001200,18.1487462245921,27.4826107159332
Soletu1_01g001210,0,0.0148100548830347
Soletu1_01g001220,4.60670714517563,1.29517588673424
Soletu1_01g001230,156.868025104972,14.3970845771876
Soletu1_01g001240,78.7035385017087,49.9148204878773
Soletu1_01g001250,0.0524173284653383,0
Soletu1_01g001260,21.0765206938993,16.4908186687545
Soletu1_01g001270,5.35193881727415,4.61629760719782
Soletu1_01g001280,1.87008106353314,3.2226696471618
Soletu1_01g001290,16.8602876737552,16.8762922520724
Soletu1_01g001300,16.3012607679807,14.6776007188606
Soletu1_01g001310,19.319305721578,20.2235289875542
Soletu1_01g001320,41.8658336720808,31.6099602595005
Soletu1_01g001330,12.4926966637265,9.80654429667312
Soletu1_01g001340,66.5025327147885,66.8034926113665
Soletu1_01g001350,457.400091395315,455.285672979318
Soletu1_01g001360,14.5681493654354,18.3973964747548
Soletu1_01g001370,9.42158821416769,9.72227853736204
Soletu1_01g001380,35.4465854143849,23.9232305288941
Soletu1_01g001390,120.462176744761,98.5260503895906
Soletu1_01g001400,48.0928459879781,38.6870989127015
Soletu1_01g001410,46.8145727695784,46.2847552754252
Soletu1_01g001430,0.270290202605913,0.409819673954718
Soletu1_01g001440,0.282240465190385,0.495224309471063
Soletu1_01g001450,0.0409970450336032,0.0316747416690469
Soletu1_01g001460,17.9286523187793,14.2941895707386
Soletu1_01g001470,47.33375368632,35.0195494059781
Soletu1_01g001480,28.8018579216865,18.4544922253325
Soletu1_01g001490,11.9318761046007,7.99056254436876
Soletu1_01g001500,100.737133822137,92.8060094043991
Soletu1_01g001510,21.7292200730026,24.5929111602142
Soletu1_01g001520,0.338747564847077,0.749818034654221
Soletu1_01g001530,8.40294412268211,7.85625164544144
Soletu1_01g001540,42.6193373573565,32.9511788631983
Soletu1_01g001550,30.1877232511391,32.8891762148119
Soletu1_01g001560,0,0.0177520353543053
Soletu1_01g001570,3.73024937969643,3.9235162766221
Soletu1_01g001580,6.95368604673556,8.59686024861186
Soletu1_01g001590,7.08039741906295,8.23514726567155
Soletu1_01g001600,8.34012105900437,7.99030325705289
Soletu1_01g001610,0.0365003897740268,0.0128052791610629
Soletu1_01g001620,0.0136886017011393,0.204721145144837
Soletu1_01g001630,4.15450627158209,3.62548945493194
Soletu1_01g001650,1.04886706529856,0.793878047406235
Soletu1_01g001660,23.5630536124515,18.0629403187496
