apices,coty,In,hypo
Soltor1_01g000440,8.22543853899268,61.1116372733867,12.8894670459629,10.5349730083527
Soltor1_01g000450,5.35269450635743,6.29365594675418,15.7058206100271,11.5280639930578
Soltor1_01g000460,0,0,0.0210989741438242,0
Soltor1_01g000480,0.1963587911075,0.146354167430949,1.17666650874074,0.347935393557593
Soltor1_01g000490,0.10155874930598,0.174996631717078,0.611023071427494,0.290436728996575
Soltor1_01g000500,0.481067759870431,0.0981577446911674,1.10470624537585,0.233333459033005
Soltor1_01g000510,0.454908314863653,0,0,0
Soltor1_01g000520,4.84090550595378,0.36611852876384,1.6746293871262,0.787073762602248
Soltor1_01g000530,7.86759475495218,0.694317798647771,6.49560289780592,2.44310176424602
Soltor1_01g000540,39.8779993836225,13.9757054487638,28.4678777813521,13.3393332264124
Soltor1_01g000550,18.4136479028545,3.22472244907589,20.0757042723384,34.1848083666413
Soltor1_01g000560,32.7186815594205,10.694961914388,30.9094320872191,16.1849839077806
Soltor1_01g000570,0.307523689487266,8.34504018497355,0.501703831814668,0.386755030204388
Soltor1_01g000580,0,0.170836522842383,0.968150842257543,0
Soltor1_01g000590,0,0.0321460028726938,1.83753506332654,0.328209542000199
Soltor1_01g000600,0.23172559700801,1.00790362896049,0.995352860365138,15.730625507282
Soltor1_01g000610,0.344064051831286,0.439234351562143,0.932425851143929,1.93047683486087
Soltor1_01g000620,205.438940343903,18.7294792966761,36.1244118311409,41.8383233131402
Soltor1_01g000630,215.293771385792,43.9096429939843,101.609036519582,93.5270186883527
Soltor1_01g000640,6.69959079547528,135.985795999878,35.0923759288199,14.6796674378818
Soltor1_01g000650,3.66938686199039,3.33472950689707,7.53529209181184,10.0343881599769
Soltor1_01g000660,52.7884369789599,74.7741454039267,21.3805657129897,46.4587628587833
Soltor1_01g000670,414.035520494894,150.750330081504,171.333434142751,284.793958019309
Soltor1_01g000680,8.15482676494964,2.56437010717022,5.77523633017626,6.48001013631946
Soltor1_01g000690,54.8835455617019,17.6063054131004,60.683851434148,28.7964520232523
Soltor1_01g000700,11.3531386783649,7.80989309389508,16.8946361709223,12.3055025049375
Soltor1_01g000710,13.6809462373223,3.97200794692306,8.83741617028433,7.41189137572517
Soltor1_01g000720,9.56977675563703,1.57044416551056,12.3612776828082,7.97215108347847
