Smur2-1_S12,Smur2-3_S22
Solmur2hap1_01g000570,0,0.069417928399998
Solmur2hap1_01g000580,0.381329859568972,0.768311346019685
Solmur2hap1_01g000590,23.7366863007829,23.0269337565316
Solmur2hap1_01g000600,16.7545515980066,20.3560366108118
Solmur2hap1_01g000610,11.9868088003519,14.5729104528336
Solmur2hap1_01g000620,445.884359911622,376.089135017713
Solmur2hap1_01g000630,120.088824583133,193.488970622281
Solmur2hap1_01g000640,2455.31674012676,543.241076023185
Solmur2hap1_01g000650,54.8342673017657,44.6046338476481
Solmur2hap1_01g000660,62.7868996237313,53.0798577516373
Solmur2hap1_01g000670,102.702413766565,100.156429603564
Solmur2hap1_01g000680,39.5944066983628,40.3911340928802
Solmur2hap1_01g000690,0,0
Solmur2hap1_01g000700,180.183075291883,229.08976291876
Solmur2hap1_01g000710,0,0
Solmur2hap1_01g000720,4.10404699996449,5.28198321038328
Solmur2hap1_01g000730,0.0978069414399923,0
Solmur2hap1_01g000740,11.4437997585509,11.9335333657221
Solmur2hap1_01g000750,0,0
Solmur2hap1_01g000760,0,0
Solmur2hap1_01g000770,7.65259474366765,7.764501543471
Solmur2hap1_01g000780,0.0745777928479942,0.150260890849162
Solmur2hap1_01g000790,18.2390020040822,25.7490141245596
Solmur2hap1_01g000800,0.0229528985425989,0
Solmur2hap1_01g000810,0,0
Solmur2hap1_01g000820,1.24783757967886,1.25708457703874
Solmur2hap1_01g000830,0,0.0625272887798855
Solmur2hap1_01g000840,0.722749156341606,1.44193348938389
Solmur2hap1_01g000850,0,0
Solmur2hap1_01g000860,2.40987635687766,1.98213769948448
Solmur2hap1_01g000870,68.6096107125289,75.7717427263012
Solmur2hap1_01g000880,212.403505376153,235.591090510437
Solmur2hap1_01g000890,39.8077586529693,42.1755166794551
Solmur2hap1_01g000900,49.7185285653294,28.9534963872795
Solmur2hap1_01g000920,0,0
Solmur2hap1_01g000910,1.79446822893888,2.36400167608451
Solmur2hap1_01g000930,0.218276466872178,0
Solmur2hap1_01g000940,1.67711949900686,2.22906707369939
Solmur2hap1_01g000950,0.0774834211407732,0.0390288028179642
Solmur2hap1_01g000960,7.67673674557481,7.93495935912818
Solmur2hap1_01g000970,9.8232504399039,7.48889878743909
Solmur2hap1_01g000980,1.20560991547016,1.8418359381659
Solmur2hap1_01g000990,3.76682817116559,4.37274899084392
Solmur2hap1_01g001000,0,0
Solmur2hap1_01g001010,48.78458935471,57.5142238565192
Solmur2hap1_01g001020,15.8217899282997,23.6397553016845
Solmur2hap1_01g001030,4.94228363818483,8.08881057281472
Solmur2hap1_01g001040,8.64670062005729,17.2473370365995
Solmur2hap1_01g001050,77.0073374397432,220.279367822174
Solmur2hap1_01g001060,8.41073769702174,12.8137741873874
Solmur2hap1_01g001070,14.9838287879273,17.7980661161038
Solmur2hap1_01g001080,93.7742704957129,49.1120750874417
Solmur2hap1_01g001090,8.30546217283183,11.6353720499151
Solmur2hap1_01g001100,0,0
Solmur2hap1_01g001110,0,0
Solmur2hap1_01g001120,0,0
Solmur2hap1_01g001130,0,0
Solmur2hap1_01g001140,97.9397355210554,90.7838502714725
Solmur2hap1_01g001150,43.5676541405597,42.0579667887467
Solmur2hap1_01g001160,77.7286479257666,81.3190018714084
Solmur2hap1_01g001170,27.9969065583416,20.4070534193795
Solmur2hap1_01g001180,8.88062623472084,8.91182634786779
Solmur2hap1_01g001190,0,0
Solmur2hap1_01g001200,13.9984333751284,21.2007334606929
Solmur2hap1_01g001210,1272.5510802897,1301.17487061674
Solmur2hap1_01g001220,11.8919978832869,13.3248301851325
Solmur2hap1_01g001230,65.9858812295617,49.9484743160656
Solmur2hap1_01g001240,17.5766836223336,17.325319224259
Solmur2hap1_01g001250,31.6091307435207,30.9278707787547
Solmur2hap1_01g001260,10.5314932130585,13.4376557328752
Solmur2hap1_01g001270,4.57872960741173,3.61674469834612
Solmur2hap1_01g001280,4.68774697901678,4.15006269964353
Solmur2hap1_01g001290,22.7573911588849,21.9902764811589
Solmur2hap1_01g001300,0,0
Solmur2hap1_01g001310,39.1259434259066,48.3679141552821
Solmur2hap1_01g001320,11.5665935322738,6.83261786691474
Solmur2hap1_01g001330,0,0.144250455215196
Solmur2hap1_01g001340,0,0
Solmur2hap1_01g001350,24.5546305238251,8.89405504217007
Solmur2hap1_01g001360,9.42419782275061,5.61791738848297
Solmur2hap1_01g001370,1.27796362232905,2.02517686824382
Solmur2hap1_01g001380,17.4725114672443,26.6653453919625
Solmur2hap1_01g001390,0.0285693061189443,0.0287810166031915
Solmur2hap1_01g001400,52.7952522412725,71.4668372936692
Solmur2hap1_01g001410,9.6490957961112,8.9458345009174
Solmur2hap1_01g001420,144.280139958557,237.803468587101
Solmur2hap1_01g001430,809.452078090955,1412.78706833891
Solmur2hap1_01g001440,7.40284946570458,7.35554729142642
Solmur2hap1_01g001450,0,0.160993811624103
Solmur2hap1_01g001460,217.097243272518,313.673214755372
Solmur2hap1_01g001470,0,0.549734966521326
Solmur2hap1_01g001480,43.264159584303,47.2092398886096
Solmur2hap1_01g001490,0,0
Solmur2hap1_01g001500,18.0748878531172,21.3535308177206
