Spse1-1_S28,Spse1-2_S29,Spse1-3_S30
Solpse1_01g000540,27.8268607567545,30.7012195504388,23.6866450929695
Solpse1_01g000550,75.5440876436505,84.3518485515717,67.2397615784842
Solpse1_01g000560,146.433510574395,115.443872420693,83.3760733240462
Solpse1_01g000570,8.85581467501059,10.2506089717091,9.46025799697528
Solpse1_01g000580,43.5859917549499,43.2817694835243,54.322667355147
Solpse1_01g000590,0,0,0
Solpse1_01g000600,607.276512293709,560.421348142087,614.130448791361
Solpse1_01g000610,8.91365699159297,9.10930816162545,7.5751385229397
Solpse1_01g000620,18.7637126210477,21.616228024265,20.8107901203877
Solpse1_01g000630,23.3446503368936,23.5639786225819,24.2394471999655
Solpse1_01g000640,25.7911890971915,28.5172021509883,29.8272933209666
Solpse1_01g000650,11.4566747662424,13.6594841897487,11.6110651300007
Solpse1_01g000660,20.5572410141673,22.6609648485125,18.6110971187221
Solpse1_01g000670,3.95086546091358,3.87846249721702,3.26756342089167
Solpse1_01g000680,4.4615215408956,3.91572189918766,4.79103420037737
Solpse1_01g000690,13.5463702878547,17.1053770250605,16.9651344162185
Solpse1_01g000700,111.855590783067,125.842452165617,92.7254128178257
Solpse1_01g000710,0.235999879996997,0.734365980177397,0.58139828272471
Solpse1_01g000720,154.776827072985,217.402091671726,165.569507310163
Solpse1_01g000730,12.887346860599,23.2707749833021,15.4803713840825
Solpse1_01g000740,0,0,0
Solpse1_01g000750,52.3524330285618,56.8594670131563,57.501310158461
Solpse1_01g000760,10.0254034625183,16.3228951966668,17.3036495906236
Solpse1_01g000770,36.187559255752,28.0686550207314,23.4274200395196
Solpse1_01g000780,5.39152229324849,5.9133143802532,4.43010936263643
Solpse1_01g000790,36.0359564550704,33.5104490551159,23.8980212499851
Solpse1_01g000800,104.932283556206,102.773022101435,74.0576540625508
Solpse1_01g000810,1.90482418728939,2.97681324990858,1.87705436358127
Solpse1_01g000820,474.510370110498,668.126900508147,817.16102493131
Solpse1_01g000830,260.923391133225,407.588035498725,693.265037146649
Solpse1_01g000840,0,0,0
Solpse1_01g000850,369.338451759098,388.341092940114,356.979110057324
Solpse1_01g000860,0,0,0.0221937613693952
Solpse1_01g000870,238.511502375782,184.659014254653,164.867941601221
Solpse1_01g000880,1.04102169287564,0.993406779999972,1.35411536035136
Solpse1_01g000890,63.1559872283259,69.1264000106153,69.5570511064959
Solpse1_01g000900,11.8539163297743,13.3862644405068,10.6447009628777
Solpse1_01g000910,11.010079700967,9.70047258147215,8.06386756107606
Solpse1_01g000920,122.036422688804,199.361049430077,233.270170066077
Solpse1_01g000930,6.76005225880005,7.83775221110128,5.55959742310954
Solpse1_01g000940,496.567347501681,674.639507255628,482.278948364857
Solpse1_01g000950,0.25051324160109,0.649606270344088,0.617152722571416
Solpse1_01g000960,73.5030387699587,56.1746663098068,45.2441388174271
Solpse1_01g000970,11.6910551372683,15.2216466830749,19.4158616042765
Solpse1_01g000980,5.68930460059943,4.72931269548352,4.61232622153976
Solpse1_01g000990,8.50241234329575,11.1868071900328,8.86747346917303
Solpse1_01g001000,0.568979467766038,0.472134889280043,0.448547598202513
Solpse1_01g001010,1.92961964878818,2.9097144274007,2.65249633978012
