Sang7-1_S7,Sang7-2_S8,Sang7-3_S9
Solvio1_01g001000,35.1847061894237,27.0477955299492,18.3722725234708
Solvio1_01g001010,5.43691851515108,4.5375341187432,4.47099550268636
Solvio1_01g001020,0.7812752543042,0.625335792786321,0.162040721584443
Solvio1_01g001030,1.78480400679728,2.14284624223656,0.962462860103125
Solvio1_01g001040,22.8144077570353,22.6698372753656,23.4967272980231
Solvio1_01g001050,0.0841098241265683,0,0
Solvio1_01g001060,7.7195649960198,5.64159301402725,6.57908036474715
Solvio1_01g001070,0.119152279534321,0.0266474871901762,0.258249057601082
Solvio1_01g001080,0.0767426231200034,0.022883860043335,0.020161325491423
Solvio1_01g001090,1.86740382925342,1.00231306989807,2.06048746522343
Solvio1_01g001100,1.40851828569364,0.856811526320833,0.692708912421288
Solvio1_01g001110,17.7940994569853,14.9455662544407,12.1303016498438
Solvio1_01g001120,1.20709588962885,1.55102954619148,1.92002001752908
Solvio1_01g001130,18.2221901070059,15.123567987786,11.6184116321537
Solvio1_01g001140,17.0675083698493,15.6828447407574,13.5209819756146
Solvio1_01g001150,0,0,0
Solvio1_01g001160,8.62774697274055,6.0692748774078,3.79278294131172
Solvio1_01g001170,5.85424754239354,2.38331859537745,3.26938003089795
Solvio1_01g001180,1.34651881787175,1.1197263852127,1.16587604030702
Solvio1_01g001190,0,0,0.323958452108861
Solvio1_01g001200,10.3053901615213,11.0176902922481,10.1391135758598
Solvio1_01g001210,0,0,0
Solvio1_01g001220,7.38533709661076,3.7073537145114,5.38099200333235
Solvio1_01g001230,25.933241910477,12.2818643776243,32.9772756722163
Solvio1_01g001240,50.1854364973228,50.6373588319019,47.9181059044619
Solvio1_01g001250,10.4835231292246,10.850400912365,6.91743359978538
Solvio1_01g001260,68.0117256319515,59.255387013023,43.3112212401193
Solvio1_01g001270,1.90493958461529,1.70410011046322,1.07240015239554
Solvio1_01g001280,41.7099755137183,36.6146190159855,29.2036550165746
Solvio1_01g001290,0.0327021201982784,0.0585086131784303,0.0773216051908377
Solvio1_01g001300,7.14892797717692,6.84796838448665,2.64266458114854
Solvio1_01g001310,2.21294397620035,1.97963132518637,1.83355256567376
Solvio1_01g001320,13.9269693222069,14.8423714663943,6.78773759636409
Solvio1_01g001330,6.95499652641449,4.63552702176599,2.48575665751959
Solvio1_01g001340,0,0,0
Solvio1_01g001350,27.8955749813351,23.6438116470862,19.5411203313918
Solvio1_01g001360,4.73196504305962,3.0236212580143,6.33415157973875
Solvio1_01g001370,41.4789214597987,46.7057991231473,54.1804732491029
Solvio1_01g001380,0,0,0
Solvio1_01g001390,4.15433399822952,2.38907498852418,1.50345884378897
Solvio1_01g001400,2.32000816110885,1.90482618819636,1.67820554364903
Solvio1_01g001410,37.0735487593744,35.1579315713836,35.1660187329371
Solvio1_01g001420,0.613844331782294,0.61014019788086,0.107510141222525
Solvio1_01g001430,6.36718327762095,5.75308517904149,3.94934080979958
Solvio1_01g001440,6.84453874754628,5.60729922027726,4.67330485621989
Solvio1_01g001450,63.3281573302269,60.8288565869295,59.890880303686
Solvio1_01g001460,81.0341589906193,76.6752848753258,58.307785774315
Solvio1_01g001470,0,0,0
Solvio1_01g001480,0,0,0
Solvio1_01g001490,0.150429752912081,0.336424525775974,0
Solvio1_01g001500,0,2.52007529780442,0.116855649733997
Solvio1_01g001510,0.0876999369204033,0,0
Solvio1_01g001520,13.0840870062415,11.6137457001696,8.51869137751348
Solvio1_01g001530,19.7777724034882,12.8585448548042,11.5274901596734
Solvio1_01g001540,0.159513140054047,0.856173167217795,0.880031465264792
Solvio1_01g001550,0.165864352368604,0.173106647259919,0.152511833822051
Solvio1_01g001560,0.478539420162142,0.142695527869633,0.251437561504226
Solvio1_01g001570,0.0508494939421118,0,0
Solvio1_01g001580,37.2028475121516,29.9524663985743,22.5440335341893
Solvio1_01g001590,48.7392399435141,44.0182489863571,50.7517686374675
Solvio1_01g001600,13.5441215408416,11.1421855002475,9.46190110066698
Solvio1_01g001610,39.5973105320807,21.3961595891546,15.5226706028263
Solvio1_01g001620,6.8982561823708,5.76542690618967,4.03740141922597
Solvio1_01g001630,58.654369346599,48.5753605604277,33.5548556579195
Solvio1_01g001640,11.5198759685748,7.63806456185102,9.27510952243729
Solvio1_01g001650,26.8151051074755,22.9029345441096,22.8392669744326
Solvio1_01g001660,4.07190673635988,3.76058100045472,2.96237075887308
Solvio1_01g001670,1.54727745852426,0.692073310167718,0
Solvio1_01g001680,5.78752637157929,7.07922317270796,4.46829498612091
Solvio1_01g001690,14.0668042466111,9.76017109750068,13.2020874566502
Solvio1_01g001700,0,0,0
Solvio1_01g001710,0,0,0
Solvio1_01g001720,20.1679613559369,24.456438905513,16.9548682852671
Solvio1_01g001730,74.603755584835,71.6584239902825,73.5811725397309
Solvio1_01g001740,0,0,0
