Setu-1_S15,Setu-2_S16,Setu-3_S17,Setu-4_S18,Setu1_1_S7,Setu1_2_S8,Setu1_3_S9
Soletu1_01g000360,59.0402309962233,63.2910002594283,65.2145067636218,49.3658856089677,92.1790976800448,91.4336249948941,94.25876341681
Soletu1_01g000370,57.0685660856096,99.8968552309962,108.49162389867,65.7533267681245,131.146974884866,137.992308758324,149.747849557051
Soletu1_01g000380,12.0458932364906,11.4481135526788,10.511539644332,16.8074326461833,11.2192462483843,11.6744833172764,11.5757944068155
Soletu1_01g000390,18.0523727724278,25.23017710106,33.162936432062,17.2860008902038,35.2610516562522,27.466215501004,39.1805609711437
Soletu1_01g000400,16.6723837615579,16.4467230064963,19.1386727930958,12.1466615239153,26.1146618014304,17.2580176544106,23.8352742035446
Soletu1_01g000410,0.152833175202685,0.0968325337101377,0.183574305936342,0.106622782050733,0,0.0391907359178357,0.034401691763927
Soletu1_01g000420,0.19789515865396,0.0626915249127664,0.079233378376749,0,0.216514189534548,0.182685237095836,0.0111362082227213
Soletu1_01g000430,0,0,0,0,0,0,0
Soletu1_01g000440,5.10873065322791,4.95851126602072,3.72095370824685,5.68733467974152,2.12277792427815,1.72254035799715,1.75243511714382
Soletu1_01g000450,0.468358163855955,0,0.140641134926126,0,0.0192158923218936,0,0
Soletu1_01g000460,7.0517602464199,4.80130054036282,6.95311934838291,4.62589381149156,6.13187851003563,3.80546411482553,4.79744414900676
Soletu1_01g000470,71.4812452578436,96.3650956302548,95.8212974607381,83.7827421868869,99.9376257697326,93.124271019595,95.0827714134995
Soletu1_01g000480,15.3192928985415,16.8905938394799,14.4061966792061,15.6317138352558,25.6508963550491,20.5417868322736,23.2297843541165
Soletu1_01g000490,1268.2185062106,1263.19828477289,1273.95252018716,1154.67817765608,1367.52995132634,1460.58740378109,1117.73449093294
Soletu1_01g000500,0.386856467625903,0.367658643740381,0.697004175767748,0.404830752006798,1.49197029786822,1.30945197767171,0.555126826900817
Soletu1_01g000510,0,0,0,0,0,0,0
Soletu1_01g000520,8.22501753155519,3.03988592155133,1.42702615847291,9.94606505302416,1.09486263864111,1.09674574631493,1.15712163564213
Soletu1_01g000530,11.6326338942107,16.3229172514097,17.260075550349,13.1756058675416,16.1147470476498,18.0344762721232,20.7009640788785
Soletu1_01g000540,1.80220098208343,1.31751263417123,1.99818352872469,2.03100755380386,0.614279591685094,1.38640545809563,3.74458143759946
Soletu1_01g000550,9.8679479395596,11.1435666901178,10.5978013618625,11.1768490227964,4.28679677247159,4.25110580395098,5.93846197764104
Soletu1_01g000560,1.75050254353289,1.38636127538683,1.92738486450424,1.52652926083323,1.98701911732816,1.93017632532531,6.42754957778447
Soletu1_01g000570,0.714110049251304,1.35734441148338,2.85915795615323,3.48735017959344,0.390648663675706,0.292988726505122,1.80833892825933
Soletu1_01g000580,26.451876081449,24.4246460154294,23.3162183375915,31.900978652155,21.447459454265,22.0316272347362,21.5318121203001
Soletu1_01g000590,107.968181042753,117.806072162999,115.814507128062,166.307986248473,139.352930996175,176.006476218814,166.007653660275
Soletu1_01g000600,12.5268604663824,6.65884777837484,5.73808537094883,5.11024471310223,5.12212315248568,6.54970347164368,8.27991037713624
Soletu1_01g000610,27.6033921697299,37.4100003622402,36.4907638297556,26.3220739619314,32.8363058922093,38.5243162150755,35.1843759984869
Soletu1_01g000620,1.5353366058903,1.45914524234464,1.22943792114589,3.21334409405396,2.01574710456664,2.75592520868881,2.76474929476093
Soletu1_01g000630,1.56467424804107,2.37924319770845,2.25527465789819,7.5319148191838,18.9762689206974,17.3570627156146,29.6374080451124
Soletu1_01g000640,16.0234370633713,22.0394613454712,20.0162758319387,18.0483842853885,34.0898407389947,31.7084547458899,29.8148308079473
Soletu1_01g000650,34.7026673342499,27.4567065782874,26.1800976945471,24.8659612567015,22.9769920478786,21.8041109263635,21.0530752664729
Soletu1_01g000660,2.79775495847809,2.97172947971932,2.89925512445301,0.688881270721706,28.2420664002928,16.3319296486325,6.6494751908386
Soletu1_01g000670,0,1.81087237713416,2.81685060692137,0.613526318673787,0.0962170455640402,0.0676531247956339,5.04781195821507
Soletu1_01g000680,0.117425361827174,0,0.141044503381937,0,0.154168038590183,0.0180667044546658,0.059471184638739
Soletu1_01g000690,0,0.0515371388024596,0.260543135607076,0.113495597140979,0,0,0
Soletu1_01g000700,54.6597841510507,55.1137557812286,63.7072377321051,56.7282447102781,47.3198110617477,40.5110614673116,87.3662804086753
Soletu1_01g000710,37.0873517786489,38.7842068744419,39.4378138341603,31.9943351356022,43.7181514886532,40.5770360967614,37.5215975717555
Soletu1_01g000720,25.2509313415261,26.875419347371,24.8403643230592,15.1849190677154,32.4582161674871,29.7002672058243,40.4103472501685
Soletu1_01g000730,294.938829206856,356.338627604164,364.307804659009,244.778930119726,486.92313085541,516.645582586471,471.552622653388
Soletu1_01g000740,210.861368037826,230.632962965035,232.160920745302,286.559603420069,261.570305827947,233.389171141027,228.189915550885
Soletu1_01g000750,87.0157700396663,73.2493451509475,77.5540996733281,84.1230551341541,58.0864983744139,56.0025383697748,51.7036992786558
Soletu1_01g000760,96.0002938846221,93.3852955100568,82.4700784594597,81.7453225600337,73.8994817163721,82.5650812551207,80.7387769990959
Soletu1_01g000770,121.417439128112,137.781583539428,140.034994690519,150.447716928166,166.877424230517,171.443073778554,164.525244917741
Soletu1_01g000780,39.8810490806976,44.4312712266471,38.3423613607026,69.0890899349118,49.5136788782025,48.4948304895917,47.1289801337488
Soletu1_01g000790,0.12662569945487,0.0601709378286449,0,0.265018069612698,0,0.0876700802764039,0.096196173915651
Soletu1_01g000800,308.791495976119,332.638297760171,337.66808358317,286.62341972631,315.728517073567,327.36349174868,358.853739512168
Soletu1_01g000810,4.27005681801802,6.6243403640186,5.3175075730543,5.58556744365207,11.2432519993978,9.26048838747843,9.81125564532685
Soletu1_01g000820,0.716818958104606,1.53280504010525,1.24845169699086,1.35022337188144,1.69400398632971,1.64328459648525,2.62598743929
Soletu1_01g000830,0.642232305731891,0,0,0,0,0.04940594211655,0.0271053852427542
Soletu1_01g000840,21.3183242127326,18.746276121537,21.1411684525643,35.7258762773139,23.1829592878511,21.1622373035326,20.1848898481002
Soletu1_01g000850,0.556880378447035,0.0661556358104681,0,0.655598681699872,0,0,0
Soletu1_01g000860,0,0,0,1.46338250962609,0,0,0
Soletu1_01g000870,0,0,0,2.80948117512914,0,0,0
Soletu1_01g000880,2.61700212049707,3.30526872950509,3.06066967753728,2.73859434985255,6.7417614122456,5.71648357597063,5.19698458687189
Soletu1_01g000890,0,0,0,0,0,0,0
Soletu1_01g000900,0,0,0,0,0,0,0
Soletu1_01g000910,0,0,0,0,0,0,0
Soletu1_01g000920,11.489194520525,12.4115719133487,12.410207817758,12.2824996327231,14.4466397467259,14.1796882492814,12.5725392727773
Soletu1_01g000930,0.900302093506356,0.122232062185938,0.154484346112572,0.538361314187051,0.0422145990485161,0.0791529753280854,0.0868507631862073
Soletu1_01g000940,63.1208309751026,72.3795045233802,67.4274714967121,58.04052011501,85.8857706937304,89.1236162324608,75.3784322255271
Soletu1_01g000950,0.205912704897275,0,0,0,0.0675858207733996,0.0792027362094736,0.347621453658122
Soletu1_01g000960,0,0,0,1.27261152239761,0.99789460622111,0.0935533309880217,0.205303165452544
Soletu1_01g000970,0,0,0,1.09857917745434,0,0,0.265841278342397
Soletu1_01g000980,30.596167779575,103.816631710648,155.355880549643,91.2989418539717,36.3428315939544,23.7041785917879,210.295157282106
Soletu1_01g000990,0.305539623062747,0,0.366996394371907,0,0.501429628001652,0.0470093852228368,0
Soletu1_01g001000,0.105703036550107,0,0,0,0.381638866613306,0.455368020712781,0.231981976109459
Soletu1_01g001010,6.98563698649901,5.36393881931588,5.33451030192114,4.74437244771808,16.0804232296503,13.9366626211143,9.39546158643333
Soletu1_01g001020,31.6596326078456,42.9519131502082,40.1766920399796,40.8638058319211,65.7575258747484,58.823656494514,58.64805422927
Soletu1_01g001030,9.80747337602931,10.8187575002739,9.46620452593317,8.43044648249898,17.0246321521622,15.2511493895283,16.2415880623789
Soletu1_01g001040,9.18065714199958,12.7353438050507,11.9176712133362,14.3213107255887,19.6053397589003,16.5816112834758,18.906572475315
Soletu1_01g001050,17.9468400553394,22.2815422141816,21.5566986849566,15.849602626077,21.5364872236216,23.4466455495976,22.399372981414
Soletu1_01g001060,0,0,0,0,0,0,0
Soletu1_01g001070,160.26493930451,182.932248362912,189.775553000524,132.649376887548,157.8836402099,150.670174252369,171.030557897118
Soletu1_01g001080,0.0653682429330624,0.0621243317656046,0.0785165250332659,0.273621636534664,0.11800541857495,0.040229425991656,0.0110354548753097
Soletu1_01g001090,464.320178170891,589.057733622855,568.040727145628,547.305058600158,1161.58807129194,1069.3286944506,966.635778991156
Soletu1_01g001100,18.7841499167562,18.4994642452569,15.5482006509417,5.09246290658313,32.5362666561193,17.5051477597856,10.6635635437788
Soletu1_01g001110,0.279787991961786,0.265903461019524,0,0,0.872419020199686,0.086094637173487,0.283402547298957
Soletu1_01g001120,1707.80786782028,2089.17060273261,2142.49905599829,1870.56933029127,1868.7538390102,2275.02517640469,1819.67706632009
Soletu1_01g001130,7.59722228615247,9.72517909565727,9.1625870821072,7.98265738083589,14.050688603152,12.7766310825439,13.5323344994137
Soletu1_01g001140,84.9221699611622,132.707359562634,120.494619807586,85.4592285660948,202.188821255688,201.253077501435,180.300059375625
Soletu1_01g001150,26.158687573736,11.1872510352077,8.85480942238665,22.3969772286433,12.5081693516672,10.5556775798431,7.8486227559404
Soletu1_01g001160,0,0,0,0,0.329101568092513,0.154267533547595,0.338540729970726
Soletu1_01g001170,53.2685223721483,78.5337501488908,70.6419146318592,56.5002055589013,95.1834793857102,89.9027163136636,88.605354544689
Soletu1_01g001180,8.12758114047506,12.280687095421,11.2431869368732,10.4164908922493,15.661380849607,13.1160378917608,14.4070160740934
Soletu1_01g001190,25.1001658603415,30.6584449796008,30.9776914401085,19.6772194523529,32.6992683395291,37.2514384949734,52.6253719343364
Soletu1_01g001200,30.7390210054168,40.7517325306767,46.8505050077045,42.4391186344035,20.7297651763005,30.3834854913758,28.8903218892605
Soletu1_01g001210,0.0866198367215968,0,0,0,0,0,0
Soletu1_01g001220,3.50076750528734,1.71104979558329,1.32154564813727,1.04669188731399,6.27048366404281,4.67827601735541,9.37155451094656
Soletu1_01g001230,36.1081572855165,24.0964065723741,17.5380060076715,6.60735813717119,281.087433593426,192.848356771863,217.848920334175
Soletu1_01g001240,65.4637387174086,79.8053977638187,78.4049520878007,68.4067730451978,122.475186422404,113.98806167717,110.54756766015
Soletu1_01g001250,0,0,0,0,0,0.230460644629029,0
Soletu1_01g001260,23.6944543974729,25.0747795556201,27.3835182436665,20.372400512876,33.1894127018845,32.1203021492347,27.611456069419
Soletu1_01g001270,3.78688921560075,7.19792827322824,9.49271102654198,6.54729627742898,8.02515938413261,7.34631920814787,8.2275381157765
Soletu1_01g001280,6.12221450323859,3.09102418939051,4.82583109234834,4.80500051447321,2.16645716845948,1.88389012930396,4.19880149905282
Soletu1_01g001290,23.7099272930265,24.8920392159223,24.800183688807,25.3088838362289,23.9619120555751,23.2281739490715,27.154212226489
Soletu1_01g001300,21.2118873182213,23.9351017823199,23.2946132427642,17.4760819150303,23.9812018470922,23.9951984335462,23.8959828025801
Soletu1_01g001310,34.6727214941971,28.6186568800155,30.807261133122,24.2554047625419,27.0169352839442,32.7093701931484,25.4344105654921
Soletu1_01g001320,45.0775362216988,53.1568453980842,50.6761786565488,36.1483723945817,59.3052630938675,63.8509426047903,61.4214873799087
Soletu1_01g001330,12.0051178675264,18.0703184814658,16.7536964169711,10.6022200617374,17.7772950860369,20.2964215853459,16.9985221470259
Soletu1_01g001340,16.4339011652354,19.8652616691373,20.5313688620784,12.9300366726943,16.4585951460342,18.461959409936,17.3635050142143
Soletu1_01g001350,650.035341340945,733.719042023366,772.000504639429,509.960751489375,662.168832347223,708.218970698348,646.143235044872
Soletu1_01g001360,24.4902621905927,28.4867988597192,24.7241093867136,29.8732906603181,23.8807470430923,20.8973537187287,19.4547037530425
Soletu1_01g001370,7.8215261054789,13.3250244772605,19.4854312030669,16.24860787182,10.4400486830857,12.9610196876556,18.1436672468686
Soletu1_01g001380,34.2426588465231,39.1463612491652,39.1433164389075,27.524401936947,45.7988601401202,46.309087835699,64.2036225116705
Soletu1_01g001390,130.434101513086,157.572888611908,150.578314891233,137.890984521374,175.430594623802,172.468699933251,183.240994321456
