Sabu2-2_S11,Sabu2-3_S17
Solabu2_01g000780,57.7671666485353,34.7877484248425
Solabu2_01g000790,1.7668037592178,1.07101907283465
Solabu2_01g000800,527.559977550916,538.267392772288
Solabu2_01g000810,62.0715484776335,145.113363036499
Solabu2_01g000820,0.590562464653265,0.172427898841657
Solabu2_01g000830,124.105435365887,126.980460011486
Solabu2_01g000840,4.73796100041826,7.11438949518301
Solabu2_01g000850,0.149510377849494,0.3143008323832
Solabu2_01g000860,378.898938161621,374.461510753581
Solabu2_01g000870,0,0
Solabu2_01g000880,57.582157785082,40.6547347061225
Solabu2_01g000890,0.118740095132391,0.228814226820391
Solabu2_01g000900,2.08697412983159,3.15332776954815
Solabu2_01g000910,0,0
Solabu2_01g000920,7.85734683215903,4.81386608949075
Solabu2_01g000930,14.003691295468,13.794073133945
Solabu2_01g000940,0.845256239513859,0
Solabu2_01g000950,0,0
Solabu2_01g000960,7.80107164305654,5.76404999096096
Solabu2_01g000970,58.6280923225505,33.6561383747475
Solabu2_01g000980,0,0
Solabu2_01g000990,2.39996840521912,2.95828197710892
Solabu2_01g001000,1.58768596240702,1.60463204938722
Solabu2_01g001010,5.64707802281887,4.90121798526786
Solabu2_01g001020,0.678410475647154,0.403043812421817
Solabu2_01g001030,12.6852470490678,12.0849277983318
Solabu2_01g001040,0.0237439636953603,0
Solabu2_01g001050,13.1309467265157,7.3174095419907
Solabu2_01g001060,0.0418053672279103,0
Solabu2_01g001070,0.0477816671477766,0.0167411096286584
Solabu2_01g001080,2.52579818951475,1.55968742519462
Solabu2_01g001090,4.60656060532619,4.63402080916207
Solabu2_01g001100,23.5086891614792,19.101656971131
Solabu2_01g001110,16.6979604022694,11.7744118475882
Solabu2_01g001120,17.5908097183733,11.080889263631
Solabu2_01g001130,7.52331036546659,6.30341463860395
Solabu2_01g001140,4.55780327830737,2.88606936086907
Solabu2_01g001150,2.21511558818501,1.92813077018353
Solabu2_01g001160,0,0
Solabu2_01g001170,0,0
Solabu2_01g001180,15.0343368943877,11.184119302515
Solabu2_01g001190,0,0
Solabu2_01g001200,0,0
Solabu2_01g001210,2.25187995840665,2.10395724299705
Solabu2_01g001220,27.1615563969694,23.815922891061
Solabu2_01g001230,29.5529904056207,31.2259645068068
Solabu2_01g001240,10.1600580007908,8.69297566478653
Solabu2_01g001250,35.7002602338087,32.1223678466112
Solabu2_01g001260,32.9565644980026,24.4315505725654
Solabu2_01g001270,0.0177307640142859,0
Solabu2_01g001280,3.01805662675557,1.93486611561025
Solabu2_01g001290,4.80173010075351,3.45638002180074
Solabu2_01g001300,8.54712867353485,8.48644340780358
Solabu2_01g001310,5.81994713514783,3.21736043442428
Solabu2_01g001320,26.3985464022892,22.0427870018723
Solabu2_01g001330,7.08270342252162,6.36711974449211
Solabu2_01g001340,143.925011478692,168.946105295409
Solabu2_01g001350,0.0914767443421248,0
Solabu2_01g001360,2.48583519797954,2.15845149949909
Solabu2_01g001370,2.94730551633805,2.00205324737244
Solabu2_01g001380,19.2512728883462,16.838297949657
Solabu2_01g001390,0.221408680573296,0.232722750092656
Solabu2_01g001400,5.58079509502303,4.28637293122129
Solabu2_01g001410,0,0
Solabu2_01g001420,6.53313484359768,4.50079225043129
Solabu2_01g001430,35.9711132358595,32.123649417888
Solabu2_01g001440,32.5736544527833,32.5765084056194
Solabu2_01g001450,0,0
Solabu2_01g001460,0,0
Solabu2_01g001470,0.32136668274275,0.2251924299818
