Shav1-1_S13,Shav1-2_S14,Shav1-3_S15
Solhav1_01g000840,0.394047461353032,2.73389598100444,1.76715611838494
Solhav1_01g000850,3.42923544536456,2.86840633970129,3.97120540471164
Solhav1_01g000860,0,0,0
Solhav1_01g000870,0,0,0
Solhav1_01g000880,85.3319656227444,270.730500512962,299.491551831387
Solhav1_01g000890,0.121968367596987,0.180280563964773,1.4815260251562
Solhav1_01g000900,1.28991452868708,3.00592195802125,2.61780631729051
Solhav1_01g000910,0,0,0
Solhav1_01g000920,2.82241021969616,9.37331255163584,9.78394750664059
Solhav1_01g000930,18.6845396689322,25.0181286776208,27.7227021783238
Solhav1_01g000940,4.90864453472737,6.27328046198356,7.17629819549393
Solhav1_01g000950,30.243224078786,34.251539085009,29.9447742754382
Solhav1_01g000960,47.6466861457938,117.330753931427,174.232316211636
Solhav1_01g000970,0.240219603991017,0.739722631506249,5.43790600090665
Solhav1_01g000980,6.07340479086565,3.29632435666126,0.389300612455275
Solhav1_01g001000,0,0,0
Solhav1_01g000990,0.214892936477588,0.860252517151037,0.118648303612083
Solhav1_01g001010,0,0.0262845605103743,0.23564034917882
Solhav1_01g001020,18.0537136487823,21.6755933883226,23.9302821272646
Solhav1_01g001030,0.014274509575018,0,0
Solhav1_01g001040,13.4724517350356,12.2557276425793,18.4475081114655
Solhav1_01g001050,0.0272681712638452,0,0
Solhav1_01g001060,14.8767370784343,17.8938941163174,21.5269176864556
Solhav1_01g001070,3.53264123516202,8.06442711995048,8.53004862887319
Solhav1_01g001080,23.7830679752433,13.9988761719304,22.9455549443099
Solhav1_01g001090,0,0,0
Solhav1_01g001100,2.17618827773292,8.80737956493472,8.97144962612253
Solhav1_01g001110,7.48243838268672,9.36510087543318,10.1524809094044
Solhav1_01g001120,2.74972686043816,4.25279880113511,2.92224936634088
Solhav1_01g001130,2.58650322408624,1.05432985914428,1.2534223870521
Solhav1_01g001140,0,0,0
Solhav1_01g001150,15.0247169950455,18.0241234871506,16.313055946878
Solhav1_01g001160,0,0,0
Solhav1_01g001170,4.16198403500796,15.1143326869925,13.6291964578807
Solhav1_01g001180,21.6052055953133,45.6924427897678,46.7024890839138
Solhav1_01g001190,109.984266362166,108.052833040788,124.235948896494
Solhav1_01g001200,3.01814374245125,2.4920044469678,2.71018935726141
Solhav1_01g001210,5.990476374526,9.51468234774913,2.14697813145552
Solhav1_01g001220,7.34062750488963,31.578224984804,37.2994438403439
Solhav1_01g001230,0.145868289652377,0.269508582852397,0.0268459655642762
Solhav1_01g001240,0.0769230204911767,1.0232942532822,0.79846074768406
Solhav1_01g001250,19.8670509522942,13.731443811516,14.6484513953962
Solhav1_01g001260,34.6889644566,25.8227349322281,28.7718493947602
Solhav1_01g001270,13.2742342830636,14.7385576647537,12.2496994460993
Solhav1_01g001280,9.87368230918781,9.72167047476262,9.17047387937087
Solhav1_01g001290,0.201784467352455,0.0828489347286999,0.445643028366984
Solhav1_01g001300,97.0503108706756,94.3023884536112,116.759949071317
Solhav1_01g001310,0.202053872515809,0.414797737293224,0.148746004127832
Solhav1_01g001320,0.0786377503322115,1.08969273074576,0.933488416785869
Solhav1_01g001330,0.536660817426741,3.66570480061704,3.93277817586918
Solhav1_01g001340,2.4375224522618,1.01167948132472,1.3458232211713
Solhav1_01g001350,2.07353386885963,6.67705008309692,6.86913064863966
